sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09020020-006,2020,金門縣,金沙鎮,西園里,1732,506,883,849,['09020020-006']
SAU_09020020-006,2021,金門縣,金沙鎮,西園里,1750,510,887,863,['09020020-006']
SAU_09020020-006,2022,金門縣,金沙鎮,西園里,1745,522,883,862,['09020020-006']
SAU_09020020-006,2023,金門縣,金沙鎮,西園里,1725,532,880,845,['09020020-006']
SAU_09020020-006,2024,金門縣,金沙鎮,西園里,1708,536,873,835,['09020020-006']
SAU_09020020-007,2018,金門縣,金沙鎮,官嶼里,2402,691,1175,1227,['09020020-007']
SAU_09020020-007,2019,金門縣,金沙鎮,官嶼里,2408,690,1174,1234,['09020020-007']
SAU_09020020-007,2020,金門縣,金沙鎮,官嶼里,2413,700,1155,1258,['09020020-007']
SAU_09020020-007,2021,金門縣,金沙鎮,官嶼里,2401,708,1146,1255,['09020020-007']
SAU_09020020-007,2022,金門縣,金沙鎮,官嶼里,2390,710,1147,1243,['09020020-007']
SAU_09020020-007,2023,金門縣,金沙鎮,官嶼里,2414,715,1165,1249,['09020020-007']
SAU_09020020-007,2024,金門縣,金沙鎮,官嶼里,2358,711,1147,1211,['09020020-007']
SAU_09020020-008,2018,金門縣,金沙鎮,浦山里,2654,774,1283,1371,['09020020-008']
SAU_09020020-008,2019,金門縣,金沙鎮,浦山里,2664,779,1291,1373,['09020020-008']
SAU_09020020-008,2020,金門縣,金沙鎮,浦山里,2654,789,1291,1363,['09020020-008']
SAU_09020020-008,2021,金門縣,金沙鎮,浦山里,2657,792,1285,1372,['09020020-008']
SAU_09020020-008,2022,金門縣,金沙鎮,浦山里,2647,809,1282,1365,['09020020-008']
SAU_09020020-008,2023,金門縣,金沙鎮,浦山里,2675,834,1299,1376,['09020020-008']
SAU_09020020-008,2024,金門縣,金沙鎮,浦山里,2623,859,1260,1363,['09020020-008']
SAU_09020030-001,2018,金門縣,金湖鎮,新市里,4765,1533,2357,2408,['09020030-001']
SAU_09020030-001,2019,金門縣,金湖鎮,新市里,4655,1510,2280,2375,['09020030-001']
SAU_09020030-001,2020,金門縣,金湖鎮,新市里,4573,1495,2231,2342,['09020030-001']
SAU_09020030-001,2021,金門縣,金湖鎮,新市里,4453,1472,2163,2290,['09020030-001']
SAU_09020030-001,2022,金門縣,金湖鎮,新市里,4419,1479,2133,2286,['09020030-001']
SAU_09020030-001,2023,金門縣,金湖鎮,新市里,4428,1482,2134,2294,['09020030-001']
SAU_09020030-001,2024,金門縣,金湖鎮,新市里,4336,1468,2067,2269,['09020030-001']
SAU_09020030-002,2018,金門縣,金湖鎮,山外里,3802,1123,1842,1960,['09020030-002']
SAU_09020030-002,2019,金門縣,金湖鎮,山外里,3808,1117,1898,1910,['09020030-002']
SAU_09020030-002,2020,金門縣,金湖鎮,山外里,3808,1109,1914,1894,['09020030-002']
SAU_09020030-002,2021,金門縣,金湖鎮,山外里,3802,1121,1936,1866,['09020030-002']
SAU_09020030-002,2022,金門縣,金湖鎮,山外里,3815,1123,1931,1884,['09020030-002']
SAU_09020030-002,2023,金門縣,金湖鎮,山外里,3903,1148,1992,1911,['09020030-002']
SAU_09020030-002,2024,金門縣,金湖鎮,山外里,3941,1181,2023,1918,['09020030-002']
SAU_09020030-003,2018,金門縣,金湖鎮,正義里,2941,876,1466,1475,['09020030-003']
SAU_09020030-003,2019,金門縣,金湖鎮,正義里,2961,897,1485,1476,['09020030-003']
SAU_09020030-003,2020,金門縣,金湖鎮,正義里,2971,903,1493,1478,['09020030-003']
SAU_09020030-003,2021,金門縣,金湖鎮,正義里,3005,938,1521,1484,['09020030-003']
SAU_09020030-003,2022,金門縣,金湖鎮,正義里,2977,940,1491,1486,['09020030-003']
SAU_09020030-003,2023,金門縣,金湖鎮,正義里,2994,951,1488,1506,['09020030-003']
SAU_09020030-003,2024,金門縣,金湖鎮,正義里,2930,949,1476,1454,['09020030-003']
SAU_09020030-004,2018,金門縣,金湖鎮,料羅里,2232,599,1180,1052,['09020030-004']
SAU_09020030-004,2019,金門縣,金湖鎮,料羅里,2288,610,1214,1074,['09020030-004']
