COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000020,三重區,65000020-017,田中里,38,14,24,20,5,15,18,9,9,6395,111Y12M
65000,新北市,65000020,三重區,65000020-018,田安里,47,23,24,20,9,11,27,14,13,6112,111Y12M
65000,新北市,65000020,三重區,65000020-019,三民里,33,17,16,21,11,10,12,6,6,3471,111Y12M
65000,新北市,65000020,三重區,65000020-020,光明里,38,12,26,27,10,17,11,2,9,7588,111Y12M
65000,新北市,65000020,三重區,65000020-021,光正里,15,3,12,10,1,9,5,2,3,2770,111Y12M
65000,新北市,65000020,三重區,65000020-022,同安里,28,15,13,20,10,10,8,5,3,1419,111Y12M
65000,新北市,65000020,三重區,65000020-023,同慶里,12,5,7,3,3,0,9,2,7,1790,111Y12M
65000,新北市,65000020,三重區,65000020-024,菜寮里,13,8,5,12,7,5,1,1,0,2283,111Y12M
65000,新北市,65000020,三重區,65000020-025,永春里,11,5,6,7,3,4,4,2,2,1867,111Y12M
65000,新北市,65000020,三重區,65000020-026,中正里,11,7,4,11,7,4,0,0,0,1364,111Y12M
65000,新北市,65000020,三重區,65000020-027,吉利里,12,7,5,9,6,3,3,1,2,1410,111Y12M
65000,新北市,65000020,三重區,65000020-028,大同里,12,6,6,9,5,4,3,1,2,1999,111Y12M
65000,新北市,65000020,三重區,65000020-029,中民里,6,2,4,2,0,2,4,2,2,1215,111Y12M
65000,新北市,65000020,三重區,65000020-030,平和里,13,5,8,5,2,3,8,3,5,1557,111Y12M
65000,新北市,65000020,三重區,65000020-031,大安里,15,8,7,7,4,3,8,4,4,1644,111Y12M
65000,新北市,65000020,三重區,65000020-032,仁德里,32,14,18,22,9,13,10,5,5,1907,111Y12M
65000,新北市,65000020,三重區,65000020-033,忠孝里,19,7,12,8,3,5,11,4,7,1805,111Y12M
