COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000020,三重區,65000020-092,永煇里,198,110,88,1784,923,861,495,236,259,112Y12M
65000,新北市,65000020,三重區,65000020-093,溪美里,1055,531,524,6533,3191,3342,1462,657,805,112Y12M
65000,新北市,65000020,三重區,65000020-094,福隆里,632,318,314,3254,1604,1650,766,332,434,112Y12M
65000,新北市,65000020,三重區,65000020-095,五常里,855,433,422,5063,2500,2563,808,343,465,112Y12M
65000,新北市,65000020,三重區,65000020-096,五福里,507,257,250,2805,1369,1436,676,288,388,112Y12M
65000,新北市,65000020,三重區,65000020-097,仁忠里,369,185,184,2204,1097,1107,683,304,379,112Y12M
65000,新北市,65000020,三重區,65000020-098,慈福里,197,107,90,1617,822,795,471,207,264,112Y12M
65000,新北市,65000020,三重區,65000020-099,慈生里,199,105,94,1464,723,741,512,231,281,112Y12M
65000,新北市,65000020,三重區,65000020-100,慈惠里,234,118,116,1588,809,779,443,193,250,112Y12M
65000,新北市,65000020,三重區,65000020-101,慈愛里,358,186,172,2403,1192,1211,729,323,406,112Y12M
65000,新北市,65000020,三重區,65000020-102,慈化里,308,151,157,1762,858,904,455,200,255,112Y12M
65000,新北市,65000020,三重區,65000020-103,慈祐里,682,354,328,3654,1838,1816,897,385,512,112Y12M
65000,新北市,65000020,三重區,65000020-104,五華里,632,290,342,3862,1879,1983,876,379,497,112Y12M
65000,新北市,65000020,三重區,65000020-105,富貴里,997,492,505,5101,2472,2629,1133,491,642,112Y12M
65000,新北市,65000020,三重區,65000020-106,富華里,432,215,217,2414,1208,1206,613,287,326,112Y12M
65000,新北市,65000020,三重區,65000020-107,富福里,279,147,132,1456,695,761,393,172,221,112Y12M
